Model                          ,RMSE               ,MAE
Mean value                     ,13.751468690887624 , 8.935374149659864
Last weeks value               ,20.32269432830954  ,11.136904761904763
NeuralProphet                  ,19.618381083887364 ,11.757254330907017
Mean value (08:00-23:00)       ,17.25121879800752  ,14.062228169956507
Last weeks value (08:00-23:00) ,25.49482199345098  ,17.526932084309134
NeuralProphet (08:00-23:00)    ,24.4534739780218   ,16.833239070704725



